image,class,conf,box,split
train_381.png,Deep Caries,0.8626039624214172,"[923.2994384765625, 693.9050903320312, 1170.1171875, 977.933349609375]",train
train_563.png,Impacted,0.8589674830436707,"[2033.2451171875, 635.9221801757812, 2194.7880859375, 882.0686645507812]",train
train_639.png,Deep Caries,0.8525370359420776,"[1698.3026123046875, 441.426513671875, 1787.4224853515625, 680.5221557617188]",train
ped_cate5_001.png,Deep Caries,0.8332219123840332,"[759.737548828125, 408.0557556152344, 835.2764282226562, 538.7072143554688]",train
train_506.png,Impacted,0.8310211896896362,"[1982.66064453125, 362.28656005859375, 2160.533203125, 606.579833984375]",train
train_504.png,Periapical,0.8153386116027832,"[1872.5909423828125, 750.09423828125, 2126.435791015625, 1060.0098876953125]",train
ped_cate5_001.png,Deep Caries,0.8051058650016785,"[679.3782348632812, 409.1217956542969, 779.81396484375, 525.6641845703125]",train
train_242.png,Impacted,0.7935006618499756,"[623.9067993164062, 537.5267333984375, 787.741943359375, 780.4530639648438]",train
train_627.png,Impacted,0.7932577133178711,"[406.3153076171875, 605.0128784179688, 653.157958984375, 827.3016967773438]",train
train_215.png,Impacted,0.79230135679245,"[1994.6778564453125, 330.6108093261719, 2193.093505859375, 525.2250366210938]",train
train_215.png,Impacted,0.7903106212615967,"[790.3029174804688, 316.49517822265625, 977.40576171875, 525.2044677734375]",train
train_506.png,Impacted,0.7880920767784119,"[585.954833984375, 750.8652954101562, 822.6926879882812, 979.0127563476562]",train
train_281.png,Impacted,0.785149335861206,"[2025.3079833984375, 700.0364379882812, 2198.534423828125, 918.8875732421875]",train
train_506.png,Impacted,0.7717454433441162,"[2047.151611328125, 719.076904296875, 2253.314697265625, 954.380859375]",train
train_212.png,Impacted,0.7676331996917725,"[2033.9996337890625, 366.0599670410156, 2163.25, 512.8067016601562]",train
train_389.png,Periapical,0.7674720883369446,"[893.2550048828125, 652.192626953125, 1122.9853515625, 941.6245727539062]",train
train_308.png,Impacted,0.7626256346702576,"[2002.3260498046875, 685.4852905273438, 2239.193359375, 924.0100708007812]",train
train_535.png,Deep Caries,0.751764178276062,"[1068.0474853515625, 402.93701171875, 1176.714599609375, 650.7332153320312]",train
